native_country,avg
 Germany,77.9781021897810219
 Scotland,0.00000000000000000000
 Thailand,0.00000000000000000000
 Outlying-US(Guam-USVI-etc),0.00000000000000000000
 France,0.00000000000000000000
 Guatemala,24.9062500000000000
 Portugal,0.00000000000000000000
 Greece,295.4482758620689655
 Puerto-Rico,55.2280701754385965
 Poland,34.1833333333333333
 Cambodia,183.0526315789473684
 Haiti,73.2954545454545455
 Laos,0.00000000000000000000
 England,82.7555555555555556
 Cuba,70.0421052631578947
 Italy,27.0821917808219178
 El-Salvador,31.1132075471698113
 Jamaica,0.00000000000000000000
 Ireland,78.6250000000000000
 Nicaragua,100.7941176470588235
 Mexico,24.7449455676516330
 Ecuador,0.00000000000000000000
 Peru,59.6129032258064516
 Dominican-Republic,25.1714285714285714
 South,169.4250000000000000
 Iran,126.8139534883720930
 Trinadad&Tobago,222.4210526315789474
 ?,118.2658662092624357
 Holand-Netherlands,2205.0000000000000000
 Hungary,128.3076923076923077
 Yugoslavia,0.00000000000000000000
 Canada,129.9338842975206612
 Honduras,146.3076923076923077
 Philippines,98.9545454545454545
 United-States,88.5105930750771340
 Hong,98.8500000000000000
 Vietnam,87.2985074626865672
 Taiwan,154.8235294117647059
 Columbia,27.1525423728813559
 China,179.5200000000000000
 India,131.1200000000000000
 Japan,57.5322580645161290
