occupation,avg
 Tech-support,673.5528017241379310
 Exec-managerial,2262.7729955730447614
 Machine-op-inspct,328.6893106893106893
 Prof-specialty,2726.6995169082125604
 Priv-house-serv,279.8523489932885906
 Sales,1319.8293150684931507
 ?,604.4910472056429734
 Transport-moving,490.3237319974953037
 Armed-Forces,0.00000000000000000000
 Adm-clerical,495.9549071618037135
 Other-service,191.3016691957511381
 Protective-serv,708.0986132511556240
 Craft-repair,649.5128080019516955
 Handlers-cleaners,257.5729927007299270
 Farming-fishing,589.7263581488933602
