fnlwgt,avg
371316,25.0000000000000000
142282,25.0000000000000000
92865,40.0000000000000000
99339,40.0000000000000000
192963,35.0000000000000000
248374,40.0000000000000000
570821,40.0000000000000000
106753,40.0000000000000000
102270,40.0000000000000000
138966,38.0000000000000000
273399,40.0000000000000000
290614,40.0000000000000000
316627,40.0000000000000000
83471,20.0000000000000000
166036,60.0000000000000000
346963,40.0000000000000000
131826,40.0000000000000000
370990,40.0000000000000000
143436,24.0000000000000000
170730,50.0000000000000000
294121,50.0000000000000000
28031,16.0000000000000000
33355,46.5000000000000000
192236,42.5000000000000000
160472,50.0000000000000000
264300,20.0000000000000000
96346,57.0000000000000000
448626,40.0000000000000000
152617,40.0000000000000000
127858,40.0000000000000000
82622,49.1666666666666667
81206,40.0000000000000000
183678,33.0000000000000000
328697,45.0000000000000000
180142,45.0000000000000000
184872,55.0000000000000000
128346,40.0000000000000000
148207,52.5000000000000000
74593,70.0000000000000000
228729,40.0000000000000000
118798,40.0000000000000000
131180,16.0000000000000000
249362,45.0000000000000000
131091,40.0000000000000000
30030,40.0000000000000000
218551,45.0000000000000000
185847,54.0000000000000000
226198,40.0000000000000000
347910,35.0000000000000000
99888,40.0000000000000000
61838,40.0000000000000000
146412,40.0000000000000000
163747,55.0000000000000000
351187,40.0000000000000000
164441,39.0000000000000000
358124,46.0000000000000000
231569,50.0000000000000000
33138,40.0000000000000000
258298,35.0000000000000000
206066,51.6666666666666667
120970,40.0000000000000000
181820,39.6000000000000000
46402,8.0000000000000000
262241,40.0000000000000000
509350,50.0000000000000000
238438,42.0000000000000000
283945,35.0000000000000000
145284,55.0000000000000000
192939,46.0000000000000000
129227,40.0000000000000000
198654,67.0000000000000000
41806,40.0000000000000000
189282,27.0000000000000000
89821,10.0000000000000000
192835,46.6000000000000000
188616,15.0000000000000000
165798,40.0000000000000000
192349,40.0000000000000000
211497,40.0000000000000000
144371,28.5000000000000000
180551,42.5000000000000000
142922,45.0000000000000000
128054,40.0000000000000000
124244,40.0000000000000000
28291,61.0000000000000000
99970,40.0000000000000000
182661,20.0000000000000000
37939,35.0000000000000000
270056,40.0000000000000000
54566,35.0000000000000000
158993,38.0000000000000000
91928,35.0000000000000000
276515,40.0000000000000000
389857,33.0000000000000000
335005,37.5000000000000000
189092,42.5000000000000000
111058,40.0000000000000000
120939,30.0000000000000000
108907,40.0000000000000000
28729,40.0000000000000000
106728,60.0000000000000000
214385,33.3333333333333333
142038,45.0000000000000000
139193,44.0000000000000000
185254,40.0000000000000000
197711,40.0000000000000000
183802,47.5000000000000000
258633,27.5000000000000000
230922,40.0000000000000000
377374,40.0000000000000000
341204,37.5000000000000000
106316,12.0000000000000000
198668,40.0000000000000000
209149,35.0000000000000000
20109,84.0000000000000000
337039,40.0000000000000000
114345,40.0000000000000000
296538,45.0000000000000000
160279,40.0000000000000000
442274,40.0000000000000000
182792,40.0000000000000000
361307,40.0000000000000000
138962,72.0000000000000000
209538,48.0000000000000000
67759,43.0000000000000000
245777,40.0000000000000000
145791,40.0000000000000000
172755,40.0000000000000000
94988,50.0000000000000000
188709,50.0000000000000000
130703,40.0000000000000000
172709,40.0000000000000000
50122,55.0000000000000000
267040,40.0000000000000000
198751,40.0000000000000000
233851,40.0000000000000000
218124,20.0000000000000000
74966,24.0000000000000000
73161,40.0000000000000000
108431,40.0000000000000000
394447,41.5000000000000000
96798,51.6666666666666667
122672,50.0000000000000000
153890,44.0000000000000000
