age,avg
87,0.00000000000000000000
74,182.4509803921568627
29,63.3321033210332103
54,111.1879518072289157
71,160.2916666666666667
68,217.9166666666666667
34,118.5575620767494357
51,114.6957983193277311
80,82.5454545454545455
70,128.3146067415730337
52,94.3221757322175732
83,398.6666666666666667
67,87.7417218543046358
63,76.6739130434782609
90,152.6046511627906977
35,72.7728310502283105
45,114.4305177111716621
86,0.00000000000000000000
84,0.00000000000000000000
39,141.8382352941176471
69,49.6203703703703704
36,85.0055679287305122
31,92.0427927927927928
50,123.7558139534883721
60,99.8365384615384615
66,134.0866666666666667
22,19.4130718954248366
59,121.5323943661971831
65,119.1011235955056180
62,56.5348837209302326
75,86.8666666666666667
73,134.5625000000000000
44,110.6602209944751381
42,126.0576923076923077
88,0.00000000000000000000
82,363.0000000000000000
41,138.7029702970297030
46,155.6322930800542741
40,86.1272040302267003
43,108.6337662337662338
32,90.4480676328502415
53,125.9568965517241379
38,91.2454655380894800
79,0.00000000000000000000
26,55.2305732484076433
48,81.9963167587476980
85,0.00000000000000000000
72,123.7014925373134328
78,104.0000000000000000
57,130.9664804469273743
24,31.1904761904761905
81,202.2500000000000000
61,125.2766666666666667
19,43.9157303370786517
77,67.0344827586206897
25,49.1712247324613555
30,84.5226480836236934
21,51.6361111111111111
49,101.8994800693240901
47,97.2740112994350282
17,41.7518987341772152
20,33.2988047808764940
37,82.8776223776223776
28,65.7693194925028835
33,69.8754285714285714
76,27.3478260869565217
18,44.3363636363636364
64,38.5817307692307692
55,124.0262529832935561
27,63.5221556886227545
23,39.9783352337514253
56,108.2267759562841530
58,79.0136612021857923
