native_country,avg
 Germany,887.0948905109489051
 Scotland,431.5000000000000000
 Thailand,0.00000000000000000000
 Outlying-US(Guam-USVI-etc),0.00000000000000000000
 France,547.0344827586206897
 Guatemala,230.8281250000000000
 Portugal,228.3783783783783784
 Greece,1283.8965517241379310
 Puerto-Rico,317.1929824561403509
 Poland,684.2833333333333333
 Cambodia,1027.8421052631578947
 Haiti,0.00000000000000000000
 Laos,160.2777777777777778
 England,864.7222222222222222
 Cuba,367.2315789473684211
 Italy,611.5068493150684932
 El-Salvador,574.3207547169811321
 Jamaica,475.1358024691358025
 Ireland,324.4583333333333333
 Nicaragua,199.8235294117647059
 Mexico,347.0279937791601866
 Ecuador,527.6071428571428571
 Peru,59.0645161290322581
 Dominican-Republic,1476.0571428571428571
 South,1869.7375000000000000
 Iran,2044.6511627906976744
 Trinadad&Tobago,0.00000000000000000000
 ?,1806.5180102915951973
 Holand-Netherlands,0.00000000000000000000
 Hungary,716.6153846153846154
 Yugoslavia,347.2500000000000000
 Canada,1504.1322314049586777
 Honduras,0.00000000000000000000
 Philippines,1018.3434343434343434
 United-States,1089.2299280082276311
 Hong,0.00000000000000000000
 Vietnam,660.5970149253731343
 Taiwan,2147.0392156862745098
 Columbia,180.6101694915254237
 China,366.4800000000000000
 India,3604.9200000000000000
 Japan,2546.2258064516129032
